"OBSID1" "OBSID2" "STUDYID" "CRN_SUBCMP" "IGSNID" "DBDOI" "DBVERNO" "SMPID" "SITEID" "METASITEID" "CNTRY" "REGION_INT" "REGION_REG" "DIV_ADMIN" "DIV_OTHER" "ISL_NAME" "LAKE" "BASIN" "AHGFL1" "AHGFL2" "RIVNAME" "RIVDIV" "IBRACODE" "IBRAREGION" "X_WGS84" "Y_WGS84" "CORDS_ELEV" "ELEVATION" "SITE_COMMT" "REFDBID" "OAID" "AUTHOR" "PUBYEAR" "REFID" "REFDOI" "MATERIAL" "SIZEMIN" "SIZEMAX" "PROJEPSGID" "PROJECTION" "AREA" "ELEV_AVE" "ELEV_STD" "SLP_AVE" "SLP_STD" "SMP_DAY" "SMP_MONTH" "SMP_YEAR" "SMP_COMMT" "BE10NP" "BE10NP_ERR" "BE10EP" "BE10EP_ERR" "BESTND" "BECORR" "BEAMS" "BE10NC" "BE10NC_ERR" "BEPROD" "BETOPO" "BESELF" "BESNOW" "BETOTS" "EBE_GCMYR" "ERRBE_AMS" "ERRBE_MUON" "ERRBE_PROD" "ERRBE_TOT" "EBE_MMKYR" "EBE_ERR" "AL26NP" "AL26NP_ERR" "AL26EP" "AL26EP_ERR" "ALSTND" "ALCORR" "ALAMS" "AL26NC" "AL26NC_ERR" "ALPROD" "ALTOPO" "ALSELF" "ALSNOW" "ALTOTS" "EAL_GCMYR" "ERRAL_AMS" "ERRAL_MUON" "ERRAL_PROD" "ERRAL_TOT" "EAL_MMKYR" "EAL_ERR" "layer" "path" "P" "Nneutrons" "Nmuons" "E1" "E2" "E3"
"S281WTS028" "LOC-PC" "S281" "AUS" NA "TBA" 2 "CRNSM04464" "CRNST03994a" NA "AUS" "Brisbane River" "AUS" "AU-QLD" NA NA NA "Paradise Creek" "NEC" "NEC_43" "Brisbane River" "North East Coast" "SEQ" "South Eastern Queensland" 152.104485 -27.453047 "INTP_ND" -9999.99 NA "Codilean:2021margin" "OAID-000032" "Codilean" 2021 "Earth-Sci_Rev_214" "10.1016/j.earscirev.2021.103543" "Sa" 250 500 32755 "WGS84_UTM_55S" 26.36 478.81 101.75 169.35 101.86 -9999 -9999 -9999 NA 222322 7049 14.7 3.46 "07KNSTD" 1 "ANSTO" 222322 7049 1.126 0.995 1 1 1.121 0.00389 0.00013 0.00041 0.00081 0.00092 14.7 3.46 1296147 72310 18.78 4.22 "KNSTD" 1 "ANSTO" 1296147 72310 1.126 0.995 1 1 1.121 0.00498 3e-04 0.00032 0.00103 0.00112 18.78 4.22 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 957.025626049676 1.15265151799125 1.00105895788653 12.5526109069267 15.7211830674608 14.3968005410243
"S231WTS015" "BG23" "S231" "AUS" NA "TBA" 2 "CRNSM04549" "CRNST04054a" NA "AUS" "Bega Riv." "AUS" "AU-NSW" NA NA NA "Brown Mountain Creek" "SEN" "SEN_19" "Bega River" "South East Coast (NSW)" "SEC" "South East Corner" 149.579806 -36.604778 "INTP_ND" -9999.99 NA "Godard:2019escarpment" "OAID-000066" "Godard" 2019 "Earth_Planet_Sc_Lett_506" "10.1016/j.epsl.2018.11.017" "Sa" 250 1000 32756 "WGS84_UTM_56S" 35.1 546.72 262.02 225.91 164.43 -9999 -9999 -9999 NA 131300 13600 32.8 4.7 "07KNSTD" 1 "ASTER" 131300 13600 1.434 0.989 1 1 1.417 0.0084 0.00091 0.00081 0.00167 0.00207 31.71 7.81 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 949.260143386136 1.43853960708557 1.17116829943335 26.5262329364153 32.8030716459335 31.3228466092712
"S280WTS006" "BGC" "S280" "AUS" NA "TBA" 2 "CRNSM04406" "CRNST03936a" NA "AUS" "Alpine Way" "AUS" "AU-NSW" NA NA NA "Bogong Creek" "MDB" "MDB_01" "Upper Murray River" "Murray-Darling Basin" "SEH" "South Eastern Highlands" 148.20314 -36.35592 "INTP_ND" -9999.99 NA "Fulop:2020conveyor" "OAID-000652" "F�l�p" 2020 "Science_Adv_6" "10.1126/sciadv.aaz8845" "Sa" 250 500 32755 "WGS84_UTM_55S" 90.49 1264.71 319.91 305.49 144.93 -9999 -9999 -9999 NA 178880 5570 38.47 7.8 "07KNSTD" 1 "ANSTO" 178880 5570 2.493 0.984 1 1 2.458 0.01019 0.00032 0.00065 0.00194 0.00207 38.47 7.8 -9999 -9999 -9999.99 -9999.99 NA 0 "ANSTO" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 870.234677783308 2.49389419632049 1.61895592756728 33.7547363123001 40.1235658717549 38.7880861942812
"S280WTS012" "MbgLP-2" "S280" "AUS" NA "TBA" 2 "CRNSM04411" "CRNST03941a" NA "AUS" "Long Plain (headwaters)" "AUS" "AU-NSW" NA NA NA "Murrumbidgee" "MDB" "MDB_12" "Murrumbidgee River" "Murray-Darling Basin" "AUA" "Australian Alps" 148.55062 -35.69872 "INTP_ND" -9999.99 NA "Fulop:2020conveyor" "OAID-000652" "F�l�p" 2020 "Science_Adv_6" "10.1126/sciadv.aaz8845" "Sa" 250 500 32755 "WGS84_UTM_55S" 95.97 1403.45 61.71 96.79 60.71 -9999 -9999 -9999 NA 762300 36490 9.22 1.9 "07KNSTD" 1 "ANSTO" 762300 36490 2.657 0.999 1 1 2.655 0.00244 0.00012 0.00012 0.00048 5e-04 9.22 1.9 4578280 287500 11.12 2.31 "KNSTD" 1 "ANSTO" 4578280 287500 2.657 0.999 1 1 2.655 0.00295 2e-04 6e-05 0.00057 0.00061 11.12 2.31 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 855.597517432929 2.7240841108555 1.70729174668668 8.65193154542181 10.2279750726922 9.17241298677202
"S162WTS005" "sample_5" "S162" "AUS" NA "10.4225/48/5a836cdfac9b5" 1 "CRNSM02911" "CRNST02619a" NA "AUS" "Queensland" "AUS" "AU-QLD" NA NA NA "Burdekin  Riv., upper" "NEC" "NEC_20" "Burdekin River" "North East Coast" "EIU" "Einasleigh Uplands" 146.428705 -19.720447 "INTP_ND" -9999.99 NA "Croke:2015burdekin" "OAID-000037" "Croke" 2015 "Geomorphology_241" "10.1016/j.geomorph.2015.04.003" "Sa" 125 1000 32755 "WGS84_UTM_55S" 38.72 318.57 28.62 35.17 30.19 -9999 -9999 -9999 NA 387000 31000 10.35 0.81 "07KNSTD" 1 "ANU" 387000 31000 0.849 1 1 1 0.849 0.00163 0.00015 0.00017 0.00036 0.00043 6.14 1.61 -9999 -9999 -9999.99 -9999.99 NA 0 "ANU" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 975.553055358143 0.855069283896839 0.789735837986228 5.34944617569316 6.78545552743292 5.76057206772683
"S231WTS011" "BG16" "S231" "AUS" NA "TBA" 2 "CRNSM04545" "CRNST04050a" NA "AUS" "Bega Riv." "AUS" "AU-NSW" NA NA NA "Sandy Creek" "SEN" "SEN_19" "Bega River" "South East Coast (NSW)" "SEC" "South East Corner" 149.684834 -36.709933 "INTP_ND" -9999.99 NA "Godard:2019escarpment" "OAID-000066" "Godard" 2019 "Earth_Planet_Sc_Lett_506" "10.1016/j.epsl.2018.11.017" "Sa" 250 1000 32756 "WGS84_UTM_56S" 91.34 294.72 180.47 120.99 107.47 -9999 -9999 -9999 NA 153500 9900 24 2.9 "07KNSTD" 1 "ASTER" 153500 9900 1.156 0.997 1 1 1.152 0.00591 4e-04 0.00064 0.00121 0.00143 22.32 5.4 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 978.335322015107 1.1704784208626 1.03979686689455 18.4617775139929 23.2285729104281 21.6558991731189
"S162WTS006" "sample_6" "S162" "AUS" NA "10.4225/48/5a836cdfac9b5" 1 "CRNSM02912" "CRNST02620a" NA "AUS" "Queensland" "AUS" "AU-QLD" NA NA NA "Burdekin  Riv., upper" "NEC" "NEC_20" "Burdekin River" "North East Coast" "EIU" "Einasleigh Uplands" 146.484668 -19.922962 "INTP_ND" -9999.99 NA "Croke:2015burdekin" "OAID-000037" "Croke" 2015 "Geomorphology_241" "10.1016/j.geomorph.2015.04.003" "Sa" 125 1000 32755 "WGS84_UTM_55S" 45.4 279.02 15.67 19.85 8.53 -9999 -9999 -9999 NA 190000 10000 21.88 1.88 "07KNSTD" 1 "ANU" 190000 10000 0.826 1 1 1 0.826 0.00347 2e-04 0.00045 0.00076 9e-04 13.11 3.4 -9999 -9999 -9999.99 -9999.99 NA 0 "ANU" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 980.170339587252 0.831829768376988 0.77662175396817 10.5998407028933 13.4761947183845 12.1052478910062
"S013WTS001" "FH19" "S013" "AUS" NA "10.4225/48/5a836cdfac9b5" 1 "CRNSM00152" "CRNST00124a" NA "AUS" "SE Highlands (NSW)" "AUS" "AU-NSW" NA NA NA "Bredbo Riv." "MDB" "MDB_12" "Murrumbidgee River" "Murray-Darling Basin" "SEH" "South Eastern Highlands" 149.407731 -35.977251 "INTP_ND" -9999.99 NA "Heimsath:2001australia" "OAID-000074" "Heimsath" 2001 "Quatern_Int_83--85" "10.1016/s1040-6182(01)00038-6" "Sa" 0 0 32611 "WGS84_UTM_11N" 86.49 1149.83 86.88 97.97 55.42 -9999 -9999 -9999 NA 478292 84878 15.47 1.1 "KNSTD" 0.9042 "LLNL-CAMS" 432471 76747 2.221 0.999 1 1 0.999 0.00372 0.00071 0.00022 0.00072 0.00104 14.02 3.93 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 882.507466213244 2.27081459326934 1.53239968069906 12.7128571608584 15.2063116676063 14.0664282098533
"S208WTS001" "PIO" "S208" "AUS" NA "TBA" 2 "CRNSM03787" "CRNST03410a" NA "AUS" "Lake Eyre Basin" "AUS" "AU-NT" NA NA NA "Finke Riv." "LEB" "LEB_02" "Diamantina-Georgina Rivers" "Lake Eyre Basin" "MAC" "MacDonnell Ranges" 132.714092 -23.676543 "INTP_ND" -9999.99 NA "Struck:2018australia" "OAID-000158" "Struck" 2018 "Earth_Surf_Dynamics_6" "10.5194/esurf-6-329-2018" "Sa" 250 500 32753 "WGS84_UTM_53S" 98.13 776.81 81.23 118.62 119.92 -9999 -9999 -9999 NA 495437 15151 7.46 0.25 "07KNSTD" 1 "ANSTO" 495437 15151 1.295 0.996 1 1 1.289 0.00188 6e-05 0.00015 0.00039 0.00042 7.09 1.6 2785751 139733 -9999.99 -9999.99 "KNSTD" 1 "ANSTO" 2785751 139733 1.295 0.996 1 1 1.289 0.00246 0.00014 8e-05 0.00051 0.00053 9.27 2.01 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 923.327812928474 1.32696596820158 1.06574706691498 6.48469910134327 7.99844191858249 7.01356281109982
"S284WTS010" "TLB-10" "S284" "AUS" NA "TBA" 2 "CRNSM04562" "CRNST04067a" NA "AUS" "Lachlan River" "AUS" "AU-NSW" NA NA NA "Wheeo Creek" "MDB" "MDB_13" "Lachlan River" "Murray-Darling Basin" "SEH" "South Eastern Highlands" 149.276219 -34.453204 "INTP_ND" -9999.99 NA "Portenga:2016burning" "OAID-000130" "Portenga" 2016 "Geology_44" "10.1130/G37257.1" "Sa" 250 850 32755 "WGS84_UTM_55S" 79.42 881.28 41.79 55.8 34.16 -9999 -9999 -9999 NA 667000 20000 8.3 0.7 "07KNSTD" 1 "SUERC" 667000 20000 1.753 1 1 1 1.753 0.00185 6e-05 0.00011 0.00038 4e-04 7 1.5 -9999 -9999 -9999 -9999 NA 0 "SUERC" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 911.744458005285 1.79727393653789 1.33482817662349 6.52389441703324 7.93216438606806 7.00318916829453
